episode	url
Series 08 Episode 09 – The Septum Deviation	https://bigbangtrans.wordpress.com/series-8-episode-09-the-septum-deviation/
Series 01 Episode 16 – The Peanut Reaction	https://bigbangtrans.wordpress.com/series-1-episode-16-the-peanut-reaction/
Series 02 Episode 05 – The Euclid Alternative	https://bigbangtrans.wordpress.com/series-2-episode-5-the-euclid-alternative/
Series 01 Episode 12 – The Jerusalem Duality	https://bigbangtrans.wordpress.com/series-1-episode-12-the-jerusalem-duality/
Series 06 Episode 24 – The Bon Voyage Reaction	https://bigbangtrans.wordpress.com/series-06-episode-24-the-bon-voyage-reaction/
Series 10 Episode 21 – The Separation Agitation	https://bigbangtrans.wordpress.com/series-10-episode-21-the-separation-agitation/
Series 10 Episode 17 – The Comic-Con Conundrum	https://bigbangtrans.wordpress.com/series-10-episode-17-the-comic-con-conundrum/
Series 05 Episode 06 – The Rhinitis Revelation	https://bigbangtrans.wordpress.com/series-5-episode-06-the-rhinitis-revelation/
Series 05 Episode 14 – The Beta Test Initiation	https://bigbangtrans.wordpress.com/series-5-episode-14-the-beta-test-initiation/
Series 02 Episode 04 – The Griffin Equivalency	https://bigbangtrans.wordpress.com/series-2-episode-04-the-griffin-equivalency/
Series 02 Episode 09 – The White Asparagus Triangulation	https://bigbangtrans.wordpress.com/series-2-episode-09-the-white-asparagus-triangulation/
Series 09 Episode 21 – The Viewing Party Combustion	https://bigbangtrans.wordpress.com/series-9-episode-21-the-viewing-party-combustion/
Series 06 Episode 20 – The Tenure Turbulence	https://bigbangtrans.wordpress.com/series-6-episode-20-the-tenure-turbulence/
Series 07 Episode 03 – The Scavenger Vortex	https://bigbangtrans.wordpress.com/series-7-episode-03-the-scavenger-vortex/
Series 01 Episode 10 – The Loobenfeld Decay	https://bigbangtrans.wordpress.com/series-1-episode-10-the-loobenfeld-decay/
Series 03 Episode 12 – The Psychic Vortex	https://bigbangtrans.wordpress.com/series-3-episode-12-the-psychic-vortex/
Series 06 Episode 13 – The Bakersfield Expedition	https://bigbangtrans.wordpress.com/series-6-episode-13-the-bakersfield-expedition/
Series 03 Episode 16 – The Excelsior Acquisition	https://bigbangtrans.wordpress.com/series-3-episode-16-the-excelsior-acquisition/
Series 10 Episode 13 – The Romance Recalibration	https://bigbangtrans.wordpress.com/series-10-episode-13-the-romance-recalibration/
Series 05 Episode 19 – The Weekend Vortex	https://bigbangtrans.wordpress.com/series-5-episode-19-the-weekend-vortex/
Series 10 Episode 05 – The Hot Tub Contamination	https://bigbangtrans.wordpress.com/series-10-episode-05-the-hot-tub-contamination/
Series 04 Episode 23 – The Engagement Reaction	https://bigbangtrans.wordpress.com/series-4-episode-23-the-engagement-reaction/
Series 06 Episode 22 – The Proton Resurgence	https://bigbangtrans.wordpress.com/series-6-episode-22-the-proton-resurgence/
